name	acquisition.price_amount	image.available_sizes[1]	image.available_sizes[1][1]	_id
"Calient Technologies"		 [ [ 250, 180 ], "assets/images/resized/0004/1809/41809v6-max-250x250.jpg" ]	 "assets/images/resized/0004/1809/41809v6-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4b3" }
"laptopbatteryinc"		 [ [ 250, 44 ], "assets/images/resized/0003/9076/39076v2-max-250x250.png" ]	 "assets/images/resized/0003/9076/39076v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4b4" }
"Telegram Stop"		 [ [ 128, 128 ], "assets/images/resized/0003/9082/39082v5-max-250x250.jpg" ]	 "assets/images/resized/0003/9082/39082v5-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4b5" }
"asuitthatfits"				{ "$oid" : "52cdef7e4bab8bd67529b4b6" }
"A Tailored Suit"		 [ [ 250, 103 ], "assets/images/resized/0003/9084/39084v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9084/39084v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4b7" }
"Transfer To"		 [ [ 250, 61 ], "assets/images/resized/0003/9087/39087v5-max-250x250.png" ]	 "assets/images/resized/0003/9087/39087v5-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4b8" }
"Drive Method"		 [ [ 250, 166 ], "assets/images/resized/0003/9088/39088v2-max-250x250.png" ]	 "assets/images/resized/0003/9088/39088v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4b9" }
"Patient Deals"		 [ [ 250, 187 ], "assets/images/resized/0003/9089/39089v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9089/39089v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4ba" }
"BorderWare Technologies"	null	 [ [ 224, 42 ], "assets/images/resized/0003/9090/39090v1-max-250x250.jpg" ]	 "assets/images/resized/0003/9090/39090v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4bb" }
"Clickulate"				{ "$oid" : "52cdef7e4bab8bd67529b4bc" }
"Fotomina"		 [ [ 250, 187 ], "assets/images/resized/0003/9181/39181v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9181/39181v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4bd" }
"Fiabee"		 [ [ 250, 56 ], "assets/images/resized/0003/9209/39209v4-max-250x250.png" ]	 "assets/images/resized/0003/9209/39209v4-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4be" }
